Line,1,2,3,4,5,6,7,8,9,10,Total
t18,0.0,0.0,27.282699510549147,0.0,0.0,0.0,0.0,20.21284047884176,14.135370954312767,0.0,61.630910943703675
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.210727610606693,14.135370954312767,0.0,27.34609856491946
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.96618658227773,14.135370954312767,0.0,42.1015575365905
t21,0.0,0.0,25.778385301405567,0.0,0.0,0.0,0.0,33.68092084995968,14.135370954312767,0.0,73.59467710567802
t22,0.0,0.0,3.575328040693201,0.0,0.0,0.0,0.0,20.898593502207873,14.135370954312767,0.0,38.60929249721384
t23,0.0,0.0,0.0,0.0,0.0,0.0,9.484245819959387,17.947367878958627,14.135370954312767,0.0,41.56698465323078
t24,0.0,0.0,0.0,0.0,0.0,0.0,5.764291901177662,8.58665649511752,14.135370954312767,0.0,28.48631935060795
t25,0.0,25.66059188706003,0.0,0.0,0.0,0.0,15.355222403497985,21.12662933875971,0.0,0.0,62.142443629317725
t26,0.0,0.0,19.672742773957456,0.0,0.0,0.0,22.870742929453275,22.120097536092928,0.0,0.0,64.66358323950365
t27,0.0,0.0,0.0,0.0,0.0,0.0,26.75196133823909,36.379429487372214,5.529592891043622,0.0,68.66098371665493
t28,0.0,0.0,0.0,0.0,0.0,0.0,31.220790182741123,17.992705151630634,14.135370954312767,0.0,63.348866288684526
t29,0.0,0.0,0.0,0.0,0.0,0.0,24.536395036271973,32.19498958298173,14.135370954312767,0.0,70.86675557356646
t30,0.0,16.008502244850035,0.0,0.0,0.0,0.0,21.813173387119495,30.364083573185578,0.0,0.0,68.18575920515511
t31,0.0,50.40765059109428,4.6195427360853465,0.0,0.0,0.0,0.0,26.777266682677375,0.0,0.0,81.80446000985701
t32,0.0,27.127692072832588,0.0,0.0,0.0,0.0,0.0,35.18082929892919,0.0,0.0,62.30852137176178
t33,0.0,0.0,10.36299182441,0.0,0.0,0.0,21.826268173335237,26.325769591316575,14.135370954312767,0.0,72.65040054337457
t34,0.0,6.160628442816799,21.533887058156278,0.0,0.0,0.0,14.455824132556149,36.379429487372214,14.135370954312767,0.0,92.66514007521421
t35,0.0,0.9091062074847172,36.0,0.0,0.0,0.0,0.0,0.0,14.135370954312767,0.0,51.04447716179749
t36,0.0,5.265753438134583,36.0,0.0,0.0,0.0,0.0,0.0,14.135370954312767,0.0,55.40112439244735
