Line,1,2,3,4,5,6,7,8,9,10
t43,1606.544799930841,3145.7349949829973,2092.264778737703,3854.3537554887407,-2700.0,7517.000211616681,257.1202484058998,0.0,-3131.5989661096432,0.0
t44,1638.3545801742746,3145.7349949829973,2092.264778737703,3745.0008494887406,-2700.0,7426.212717440682,0.0,-685.2457338964346,-3131.5989661096432,0.0
t45,1641.5153889604617,3145.7349949829973,2092.264778737703,3745.80659948874,-2700.0,7311.935220715394,0.0,-1261.8464601959113,-3131.5989661096432,0.0
t46,1638.5183692115122,3145.7349949829973,2092.264778737703,3770.1656134887407,-2700.0,7003.083330715394,-365.67688154259986,-1546.2225058460085,-3131.5989661096432,0.0
t47,1636.2960014213966,3145.7349949829973,2092.264778737703,3814.7512474887403,-2700.0,6652.920857715392,-981.5961187776649,-1519.0308141767655,-3131.5989661096432,0.0
t48,1633.8260386162874,3145.7349949829973,2092.264778737703,2535.6023298834534,-2700.0,6250.479436715393,-741.0190473065697,-1609.480368293555,-3131.5989661096432,0.0
t49,1629.3380439231455,2896.56844164198,2092.264778737703,2421.110783202805,-2700.0,5760.623799715395,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t50,1626.093803056696,3145.7349949829973,2092.264778737703,1894.5161164887404,-2700.0,4798.86811561678,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t51,1630.746004146128,3145.7349949829973,2092.264778737703,2042.1028194887408,-2700.0,4695.017084922859,-2244.8123252038326,-1609.480368293555,-1664.3338393779852,0.0
t52,1502.9891746476333,3145.7349949829973,2092.264778737703,2359.9520204887403,-2700.0,4452.842745715394,-2244.8123252038326,-1609.480368293555,-1034.336993532217,0.0
t53,692.5614444570506,3145.7349949829973,1968.35136475461,2783.5481267153928,-2700.0,4242.863086715393,-2244.8123252038326,-1609.480368293555,-1069.486689406673,0.0
t54,888.6224008197405,3145.7349949829973,1868.668695361716,2959.9998583633933,-2700.0,4401.162514715394,-2244.8123252038326,-1609.480368293555,-791.2359535668965,0.0
t55,1606.3911950592799,3079.2882943289137,1349.7080832072193,3510.404923212808,-2700.0,4879.178921715394,-2244.8123252038326,-1609.480368293555,-1916.5117657416288,0.0
t56,1570.6129586803104,1044.0555878092691,0.0,4879.682917987252,-2700.0,6584.268905,-2244.8123252038326,-1609.480368293555,-908.4442408228574,0.0
t57,1646.495691,0.0,31.585536616930774,4322.246458567677,-58.427527763274426,5131.551185,-1138.337989147461,0.0,1586.3610908971882,0.0
t58,1260.9578653098438,485.43025244413144,0.0,4809.770630438683,990.340029116406,4663.331488,0.0,0.0,3131.5989661096432,0.0
t59,1109.7084183241584,465.6546165131568,0.0,5375.6336943495235,1218.3504455222685,4892.826698999999,-61.53132077763661,-475.952344805678,1693.129254491645,0.0
t60,1140.939639690156,214.7127053882459,0.0,5292.406620811156,1390.0383582170555,4843.670388814375,0.0,-1609.480368293555,2186.5372517766505,0.0
t61,1081.4062920466633,-604.2222301338533,0.0,5375.6336943495235,679.2841775887437,3781.6286597471826,0.0,0.0,1504.8418152284264,0.0
t62,1162.5905728446305,1008.2973629128769,-383.78802790404274,5375.6336943495235,2196.096398231095,3907.030287,0.0,0.0,3131.5989661096432,0.0
t63,1580.761658034675,765.8455177049522,-0.5381100004697714,5375.6336943495235,1172.5581491702621,3808.4528817140376,0.0,0.0,1603.5612564916448,0.0
t64,1650.4250815845735,2259.535043863523,0.0,4359.172915469227,1014.6998771702617,4462.935716714038,0.0,-1609.480368293555,1588.789345491644,0.0
t65,1690.7780916550882,3145.7349949829973,0.0,2957.2071227810748,-2700.0,5800.406377135815,-2244.8123252038326,-1609.480368293555,-2034.448002029139,0.0
t66,1650.2363208487682,3145.7349949829973,1856.3868554209835,5097.930889021772,-2700.0,7493.971186715593,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t67,1639.7149794621066,3145.7349949829973,1553.7611238652537,4670.051574439377,-2700.0,7896.445662715394,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t68,1638.6125026102945,3145.7349949829973,1052.3860910932717,4969.261893158976,-2700.0,7783.857092715392,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t69,1662.4062771400947,3145.7349949829973,1366.8304773001687,4776.971064572768,-2700.0,7655.750962715395,-2244.8123252038326,-1609.480368293555,-3131.5989661096432,0.0
t70,1664.6449777245248,3145.7349949829973,1973.214639861745,5214.3687026959215,-2700.0,7097.055549715395,-2244.8123252038326,-1609.480368293555,-2611.430957677908,0.0
t71,1671.6230103269684,3145.7349949829973,2092.264778737703,3953.498472197571,-2700.0,6427.420763715393,-2244.8123252038326,-1609.480368293555,-1370.9953061746126,0.0
t72,1670.2924704731665,3145.7349949829973,2092.264778737703,3619.601849501606,-2700.0,5923.138081715393,-2244.8123252038326,-1609.480368293555,0.0,0.0
t73,1665.2495460861653,3145.7349949829973,1772.5656716852166,2529.37660004204,-2700.0,5259.367217715393,-2244.8123252038326,-1609.480368293555,0.0,0.0
t74,1669.1569738283622,3145.7349949829973,1717.443259566178,2601.5029661047884,-2700.0,4929.697249715394,-2244.8123252038326,-1609.480368293555,0.0,0.0
t75,1667.2082270271526,3145.7349949829973,919.5645547241531,2583.6147098353936,-2700.0,4405.632763715394,-2244.8123252038326,-1609.480368293555,0.0,0.0
t76,1668.4697104893305,2792.7140356026075,232.9269261759295,2025.693290715393,-2700.0,4038.361065715392,-2244.8123252038326,-1609.480368293555,0.0,0.0
t77,1671.8616334807753,2747.7751424979465,0.0,2019.0799350000002,-2700.0,4043.8655069999995,-2244.8123252038326,-1609.480368293555,-912.6180175350452,0.0
t78,1680.2413057747563,1564.4156990848546,0.0,2600.3775259999998,-2700.0,4958.9627820000005,-2244.8123252038326,-1609.480368293555,-2177.804189149988,0.0
