Time_Index,QL_CO,NSW_CO,QL_GA,QL_BI,QL_DI,NSW_GA,NSW_BI,NSW_DI,VIC_CO,VIC_GA,VIC_BI,VIC_DI,SA_GA,SA_DI,SA_BI,TAS_GA,TAS_DI,TAS_BI,None
78,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
79,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
80,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
81,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
82,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
83,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
84,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
85,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
86,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
87,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
88,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
89,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
90,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
91,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
92,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
93,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
94,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
95,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
96,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
97,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
98,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
99,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
100,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
