Zone,1,2,3,4,5,6,7,8,9,10,Total
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t104,0.0,8.809827367096968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.809827367096968
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,0.0,143.19114752180025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.19114752180025
t114,363.95113900020084,237.53557103194697,0.0,0.0,0.0,0.0,0.0,745.1715922050737,404.6399362399949,0.0,1751.2982384772163
t115,363.95113900020084,237.53557103194697,0.0,0.0,0.0,0.0,0.0,1065.8134130750504,404.6399362399949,0.0,2071.9400593471933
t116,363.95113900020084,237.53557103194697,0.0,0.0,0.0,208.6985654979584,0.0,1065.8134130750504,404.6399362399949,0.0,2280.6386248451513
t117,363.95113900020084,237.53557103194697,0.0,0.0,0.0,137.9065931367827,0.0,1065.8134130750504,404.6399362399949,0.0,2209.846652483976
