Resource,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO
t42,4939.550882206805,7488.8,26566.29393731939,16353.919999999998,34003.2,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,1509.7041987935538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,14547.856207749785,0.0,24338.60288497718,0.0,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,2379.3226261057957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,14447.539421102198,0.0,11012.586884977178,12202.68668735641,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,2217.8916885502504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,13825.722029973109,0.0,9981.07767490997,0.0,27130.0578672884,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,2188.6659538469366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,13577.1761673689,0.0,0.0,0.0,25029.262795122184,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,8691.534729946878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,13631.089032557358,0.0,9847.562721545304,0.0,8027.662795122183,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,0.0,27202.55788602132,5096.436412260491,1420.609156936152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,13649.646202552081,0.0,4257.883823623241,188.080467180398,0.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,0.0,23111.88970724236,5479.215825901459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,12620.838964396547,0.0,263.74110351698636,0.0,0.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,22857.214579130847,0.0,385.69062120001513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,5331.245169639703,0.0,0.0,0.0,0.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3745.9471522144972,0.0,14282.857994989341,2103.9749969630916,2212.5479109475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t51,5974.930332034032,0.0,0.0,0.0,0.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,1014.7034812054319,0.0,10585.261701879233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
