Line,1,2,3,4,5,6,7,8,9,10
t17,62.86610346116678,0.0,0.0,1137.09510371717,-2700.0,4933.016108656384,-266.8495388511809,-991.317059728199,-471.1790318104256,0.0
t18,892.4891907415341,0.0,909.423317018305,1589.937258140076,-2700.0,4839.545359,0.0,-673.7613492947254,-471.1790318104256,0.0
t19,873.1114243367333,0.0,0.0,309.00765041012886,-2700.0,5031.770124000001,0.0,-440.3575870202231,-471.1790318104256,0.0
t20,923.7675843425412,0.0,0.0,322.82124405495784,-2700.0,4726.432945,0.0,-932.2062194092578,-471.1790318104256,0.0
t21,237.85342602513083,0.0,859.2795100468524,1023.1054597501037,-2700.0,4348.913466,0.0,-1122.697361665323,-471.1790318104256,0.0
t22,-575.2175159414177,0.0,119.17760135644004,85.5523159645375,-2700.0,3750.3231349999996,0.0,-696.6197834069291,-471.1790318104256,0.0
t23,-572.9847717612855,0.0,0.0,-94.71716920155649,-2700.0,3444.938121791802,-316.1415273319796,-598.2455959652876,-471.1790318104256,0.0
t24,-643.1817966463929,0.0,0.0,-79.80979072505929,-2700.0,3499.7663946824373,-192.14306337258873,-286.221883170584,-471.1790318104256,0.0
t25,33.15360397233802,855.3530629020009,0.0,-83.21262030174769,-2700.0,3428.712975259421,-511.8407467832662,-704.220977958657,0.0,0.0
t26,-485.19061009097067,0.0,655.7580924652486,523.1579229735996,-2700.0,3844.5830390479036,-762.3580976484425,-737.336584536431,0.0,0.0
t27,-243.97826110216957,0.0,0.0,13.674669386089688,-2700.0,3194.8925129172176,-891.7320446079698,-1212.647649579074,184.31976303478743,0.0
t28,-260.22830109146787,0.0,0.0,83.03366281119207,-2700.0,3217.1132122683384,-1040.6930060913708,-599.7568383876878,471.1790318104256,0.0
t29,-178.34215420387588,0.0,0.0,70.35222441508537,-2700.0,3095.495815689518,-817.8798345423992,-1073.166319432724,471.1790318104256,0.0
t30,-957.7731026661131,533.6167414950013,0.0,61.5406007865647,-2700.0,3259.260018261295,-727.1057795706498,-1012.1361191061859,0.0,0.0
t31,-864.565807755408,1680.2550197031428,153.98475786951155,41.67208992208637,-2700.0,3051.7373490000004,0.0,-892.5755560892459,0.0,0.0
t32,-335.27283522240293,904.256402427753,0.0,577.6002302988319,-2700.0,5081.284498000001,0.0,-1172.6943099643063,0.0,0.0
t33,569.2479010488547,0.0,-345.4330608136667,677.4293900373343,-2700.0,6112.273866,-727.542272444508,-877.5256530438859,471.1790318104256,0.0
t34,859.3684042247988,205.35428142722665,-717.7962352718758,469.6126901711224,-2700.0,5473.216802,-481.86080441853835,-665.9247612598984,471.1790318104256,0.0
t35,957.7731026661131,-30.303540249490574,-1200.0,175.16687966804233,-2470.099888011819,4883.244626,0.0,0.0,471.1790318104256,0.0
t36,957.7731026661131,-175.5251146044861,-1200.0,548.9704712150993,-2700.0,4368.735181128061,0.0,0.0,471.1790318104256,0.0
t37,957.7731026661131,-304.17479484286895,-1200.0,760.4850839589926,89.65196645236695,4246.438217673948,0.0,0.0,471.1790318104256,0.0
t38,957.7731026661131,-374.12751135434473,-1200.0,361.5147504141798,-1599.994643,4366.427693,0.0,0.0,471.1790318104256,0.0
t39,957.7731026661131,-354.0997373867297,-1200.0,759.8488035575876,232.5752137823427,4587.794062093702,0.0,-1212.647649579074,471.1790318104256,0.0
