Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
CNQ_PH,1,None,0.0,0.0,0.0,874.7507537113261,874.7507537113261,-0.0,0.0,0.0,9266.596531439029,9266.596531439029,0.0,0.0,0.0,0.0
GG_PH,2,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_PH,3,None,1303.1972867555367,0.0,0.0,696.8027132444635,2000.0,19943.084831517277,10425.578294044293,0.0,17574.42170595571,28000.0,0.0,0.0,0.0,0.0
NNSW_PH,4,None,847.8790158348636,0.0,0.0,1402.1209841651366,2250.0,80006.70164611662,7923.706152569471,0.0,23359.073866457227,31282.780019026697,0.0,0.0,0.0,0.0
CNSW_PH,5,None,2000.0,0.0,0.0,0.0,2000.0,32298.252030789485,16992.35203964304,0.0,4708.1323923342225,21700.484431977267,0.0,0.0,0.0,0.0
SNW_PH,6,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_PH,7,None,720.9920870808402,0.0,0.0,0.0,720.9920870808402,-0.0,9680.0,0.0,0.0,9680.0,0.0,0.0,0.0,0.0
VIC_PH,8,None,1763.8389394614917,0.0,0.0,0.0,1763.8389394614917,-0.0,14985.886100280153,0.0,3558.88860824701,18544.774708527166,0.0,0.0,0.0,0.0
SA_PH,9,None,900.0,0.0,0.0,0.0,900.0,22766.928107847074,7487.836698514532,0.0,2512.163301485468,10000.0,0.0,0.0,0.0,0.0
TAS_PH,10,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_PH_NEW,1,None,250.0,0.0,0.0,0.0,250.0,-0.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
SNSW_PH_SNOWY,7,None,2040.0,0.0,0.0,0.0,2040.0,-0.0,342720.0,0.0,0.0,342720.0,0.0,0.0,0.0,0.0
TAS_PH_NEW,10,None,2750.0,0.0,0.0,0.0,2750.0,-0.0,63000.0,0.0,0.0,63000.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,143494.56529587184,140.6269073911168,0.0,46527.52361384676,189881.4620023275,n/a,481033.36439209175,0.0,65754.24270409202,546787.6070961838,0.0,0.0,0.0,0.0
