Line,1,2,3,4,5,6,7,8,9,10
t27,1733.1272809999998,-928.2658545194608,-3715.629937398226,-122.2314983693035,-2700.0,6081.592995,-2584.5734089744406,-3296.425650048236,-848.7849809466012,0.0
t28,1723.962078,-1634.2846342978498,-2762.601805900829,212.06165101065844,-2260.781171989341,5695.10926,-2584.5734089744406,-2072.679526913379,-836.6649040993108,0.0
t29,1756.685827,-1899.054874632044,-2577.122405839111,77.42123507330336,-2700.0,5590.215098,-2584.5734089744406,-1609.2639920191918,-888.8092903062067,0.0
t30,1854.4957486524968,-2279.695455028445,-3840.6706627958088,1070.9865062622555,-2700.0,5592.821928694256,-2584.5734089744406,-2457.7040166187785,-774.7567336559604,0.0
t31,1682.1183850390487,-2158.852894661659,-4623.6235470784495,972.7180542718589,-2700.0,4383.377149271859,-2584.5734089744406,-2586.9562832724196,-751.3256577938915,0.0
t32,1875.4880816901416,1298.7889741921626,-1810.2797084633817,3029.1630210822486,-2684.646910336984,4563.142534,-2584.5734089744406,-3868.179870726747,-104.521681398402,0.0
t33,1718.030072924026,3026.77861173442,0.0,7295.2540494197265,1910.662143384794,3170.0785130349327,1237.6497549792648,-2496.6257418719215,2487.762148905138,0.0
t34,1875.4880816901418,3065.477673043028,0.0,6265.79598104928,699.3521940808405,4304.0002127281405,0.0,-3245.1316350843667,3736.7509936758443,0.0
t35,1875.4880816901416,2848.290665412831,-525.2522746886918,6566.403878939882,277.7961850808399,3613.0086038590425,0.0,-2174.84491107853,1622.1011609051375,0.0
t36,1457.0915778383196,290.172209678925,-2855.6599573728854,5877.4790045617165,722.53937108084,2966.276783480877,0.0,-1955.1680527669553,1702.1488969051377,0.0
t37,1597.4636262617942,3109.987776856195,0.0,6451.018518117099,1924.6966276201024,3095.2498834969956,1347.0532734376973,-3754.168078817734,3671.505946192894,0.0
t38,1875.4880816901418,2587.411012681674,0.0,5172.386905704807,1651.4953629708748,3041.001491733932,1408.2665083181164,-2826.4939684729056,1740.3655725888323,0.0
t39,1875.4880816901418,2384.069059593479,-1212.5799335066008,4392.934380435021,312.9722410340463,3813.184207400974,0.0,-4184.072920450838,3145.730708905138,0.0
t40,1875.4880816901418,3168.9345918106956,-1021.6898591287933,5189.6893469269535,1379.0421494816958,3373.5027644452575,1001.9440940370928,-2700.185723292548,1154.103958905139,0.0
t41,1875.4880816901416,3662.1807695668617,-1051.1329729640054,2299.531792139098,-2700.0,6579.3244824415415,-2426.4649720819757,-4184.072920450838,0.0,0.0
t42,885.0930853676138,4326.962484492997,0.0,4408.488831202078,-2700.0,8716.054229441543,172.14083804763655,-796.9554662636458,-3736.7509936758447,0.0
