Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
,,,,,,,68,2611.815024,1210.457981,6010.020671,829.909,1520.064552,8515.839721,1341.198424,7936.793477,2542.36391,1629.077927
,,,,,,,69,2573.510575,1208.338756,5873.829827,795.016934,1475.964462,8212.868852,1288.559301,7629.036838,2449.816043,1598.927546
,,,,,,,70,2457.022,1201.89393,5459.889436,742.719437,1409.864824,7758.76168,1209.661361,7132.623587,2313.603899,1534.562863
,,,,,,,71,2309.453171,1193.729563,4935.904644,703.851303,1360.738656,7421.263242,1151.023384,6805.205214,2136.468929,1426.050544
,,,,,,,72,2174.155118,1186.244087,4454.408968,673.29266,1322.114531,7155.915479,1104.921129,7026.327257,2257.113532,1325.393684
,,,,,,,73,2032.346674,1178.398418,3953.689087,640.20034,1280.283255,6868.547376,1054.9935,6450.180076,2059.787544,1270.810366
,,,,,,,74,1909.284442,1171.589899,3516.153872,597.987536,1226.928898,6502.003278,991.309128,5897.109176,1817.385238,1257.373089
,,,,,,,75,1851.611234,1168.399081,3311.215225,536.170053,1148.795667,5965.227878,898.048282,5520.126816,1654.152296,1246.757377
,,,,,,,76,1839.207033,1167.712808,3267.225218,509.34344,1114.888086,5732.284121,857.576041,5346.866658,1557.205841,1247.722956
,,,,,,,77,1878.910279,1169.909423,3408.462097,513.230525,1119.800426,5766.033731,863.439864,5349.834189,1522.579754,1273.742097
,,,,,,,78,1997.220092,1176.456536,3829.123332,571.983654,1194.059503,6276.196409,952.077048,5731.080549,1572.167137,1348.348433
,,,,,,,79,2166.733406,1186.017957,4435.91243,682.194539,1336.522487,7253.292716,1120.501827,6751.484671,1826.070116,1497.82208
,,,,,,,80,1882.747167,1173.679245,3504.746043,597.88091,1348.343964,7273.662704,1073.954777,7385.502181,2143.823347,1683.415163
,,,,,,,81,1505.241441,1155.624869,2228.385931,404.582102,1251.965109,6535.506942,883.118239,6854.150121,1894.358455,1616.664357
,,,,,,,82,1195.477193,1140.350056,1170.316551,224.832317,1137.131207,5688.848878,688.483251,5835.721135,1306.293592,1507.627598
,,,,,,,83,1062.375814,1134.214805,724.260041,90.270279,1040.381614,4986.490668,535.431363,5069.433905,703.179445,1465.949728
,,,,,,,84,1017.751051,1132.094564,572.522259,0.918621,962.785461,4436.756036,424.68142,4136.450497,374.092224,1353.198051
,,,,,,,85,1029.149726,1132.306597,603.042526,0,941.26386,4313.239913,409.304637,4113.655882,260.988167,1297.93668
,,,,,,,86,1015.408249,1130.304335,526.069636,41.642202,954.812653,4415.563386,445.573722,4787.853028,444.286346,1275.158646
,,,,,,,87,1207.029051,1139.617327,1179.268315,153.095811,1015.049553,4866.293462,558.858983,5417.869627,632.819613,1289.333692
,,,,,,,88,1557.618853,1156.555308,2368.88946,339.209532,1126.871824,5697.940395,755.563412,5996.03663,910.650866,1323.833182
,,,,,,,89,2042.770848,1180.169252,4018.574977,678.051601,1362.745658,7417.27607,1135.683508,7094.079392,1430.594708,1468.464432
,,,,,,,90,2324.986529,1194.677445,4996.215148,843.738159,1538.879995,8644.428727,1362.9725,8145.506069,2243.167466,1563.474278
,,,,,,,91,2370.289002,1197.096881,5155.242139,850.114402,1545.596584,8691.261677,1371.677382,8080.890321,2573.972887,1538.322373
,,,,,,,92,2350.135245,1195.980332,5083.503003,813.980089,1499.926339,8377.503942,1317.164122,7737.26673,2538.205223,1490.182624
,,,,,,,93,2321.951316,1194.421033,4983.196268,784.066817,1462.119122,8117.76511,1272.036252,7426.788236,2475.131254,1432.766063
,,,,,,,94,2234.581614,1189.587232,4672.509137,739.149681,1405.347946,7727.744023,1204.272788,6996.178734,2376.085577,1366.283014
