Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
,,,,,,,56,1431.688178,1104.640242,3606.109177,600.684705,1101.246184,7046.802061,1026.258118,6213.162498,1916.297284,1509.082494
,,,,,,,57,1201.879199,1093.854988,2840.046485,411.674095,984.321746,6276.408018,839.039631,6223.084946,1883.666475,1453.397676
,,,,,,,58,997.809749,1084.082658,2154.986,256.127574,873.751703,5539.994196,673.449583,5945.070027,1466.326554,1359.759545
,,,,,,,59,973.114989,1082.802619,2069.68619,144.470931,792.167195,4995.569526,552.806232,5683.313256,973.134867,1277.157376
,,,,,,,60,910.96523,1079.702763,1858.006897,73.69812,725.714203,4545.258059,464.502366,5484.61476,970.706501,1292.65645
,,,,,,,61,868.345092,1077.545693,1712.075292,88.100266,717.989615,4485.217084,465.413486,4894.269065,1289.188788,1255.965787
,,,,,,,62,928.290907,1080.41261,1913.221968,146.203947,742.536258,4640.684603,513.816189,4377.81799,1507.728056,1318.337032
,,,,,,,63,1077.921242,1087.593424,2415.909887,198.047429,766.895574,4796.943988,558.976785,4646.445173,1595.831564,1365.754234
,,,,,,,64,1251.839069,1095.935013,3000.074853,337.691151,854.389057,5374.031975,698.186052,5225.12023,1644.249679,1388.862858
,,,,,,,65,1512.753317,1108.482176,3877.258747,568.079008,1012.406212,6423.698053,938.830511,5984.622754,1778.884856,1456.531098
,,,,,,,66,1681.134531,1117.024264,4454.294363,704.778658,1157.659302,7414.110262,1122.957782,6777.307649,2050.333799,1534.449826
,,,,,,,67,1687.552397,1117.35876,4476.508049,708.028049,1161.766981,7442.328237,1127.860382,6675.221093,2190.90767,1515.691407
,,,,,,,68,1640.281732,1114.743472,4309.168034,680.30832,1126.725378,7201.607695,1086.037527,6334.082488,2122.946918,1469.590837
,,,,,,,69,1582.93797,1111.570881,4106.169087,652.772844,1091.916695,6962.487208,1044.492666,6025.817998,2044.225258,1430.355645
,,,,,,,70,1512.54186,1107.676158,3856.964635,605.019569,1031.549891,6547.793578,972.443679,5687.054731,1914.555447,1351.70843
,,,,,,,71,1455.056537,1104.495735,3653.465067,575.072819,993.693025,6287.733396,927.26075,5261.937697,1764.694534,1273.342903
,,,,,,,72,1354.647976,1098.940549,3298.016281,550.960549,963.211751,6078.34033,890.88074,5341.829379,1856.020956,1198.25215
,,,,,,,73,1326.596745,1097.388592,3198.699297,521.87176,926.440859,5825.736573,846.993145,4966.281513,1753.530045,1160.11878
,,,,,,,74,1324.356991,1097.264675,3190.770806,489.501165,885.519834,5544.627169,798.153127,4564.178623,1572.906512,1135.016751
,,,,,,,75,1328.496,1097.493669,3205.423224,444.292686,828.3699,5152.032321,729.943599,4315.330392,1468.61112,1114.541425
,,,,,,,76,1334.743348,1097.839309,3227.539313,422.169399,800.402924,4959.911533,696.564485,4141.37929,1395.968975,1114.25781
,,,,,,,77,1336.443485,1097.933371,3233.558146,434.319449,815.762308,5065.42374,714.896203,4155.918381,1367.154998,1128.883452
,,,,,,,78,1380.795328,1100.387173,3390.5642,490.89765,887.285177,5556.75433,800.260104,4553.406921,1412.634047,1184.575765
,,,,,,,79,1467.961416,1105.269891,3700.613332,605.847448,1032.74044,6556.006172,973.808079,5400.065713,1559.781185,1347.965115
,,,,,,,80,1419.022357,1103.894213,3560.138056,558.64892,1055.780698,6736.533303,968.99594,5910.295896,1789.514365,1491.655627
,,,,,,,81,1238.777955,1095.545754,2962.020239,354.973825,928.107504,5894.395674,765.905554,6072.216587,1790.866123,1450.113391
,,,,,,,82,1180.448046,1092.728744,2765.621216,200.660906,822.326149,5191.746993,604.769325,5975.50782,1607.644788,1326.467354
,,,,,,,83,1136.643679,1090.494011,2615.197038,98.603951,744.276667,4669.292774,491.705043,5609.906504,1539.544434,1249.735421
,,,,,,,84,1083.699333,1087.888581,2435.739286,49.121832,699.893336,4369.286967,431.634489,5357.550573,1490.408163,1218.511365
,,,,,,,85,1132.547208,1090.136803,2597.483109,55.786789,693.542957,4321.687469,429.827739,5266.798883,1541.880617,1258.664003
,,,,,,,86,1176.310855,1092.232605,2744.400145,97.019978,710.280811,4427.148924,463.629403,5046.230603,1625.93803,1255.645808
,,,,,,,87,1272.664323,1096.767042,3065.898635,185.9503,754.949737,4715.777255,543.411474,5154.674492,1728.991754,1330.370483
,,,,,,,88,1367.538165,1101.364096,3385.714471,334.184666,842.192179,5288.151445,686.661841,5443.292745,1755.211925,1360.529706
,,,,,,,89,1537.460297,1109.713205,3961.358568,541.608992,975.363834,6168.265243,896.018261,5829.20224,1786.303304,1410.798123
,,,,,,,90,1686.056064,1117.298812,4471.751666,653.167809,1092.417674,6965.924176,1045.089628,6537.107549,2041.488674,1490.623246
,,,,,,,91,1689.943931,1117.491074,4484.953367,654.951345,1094.672311,6981.412553,1047.780583,6447.783196,2225.703649,1481.314361
,,,,,,,92,1645.51024,1115.032743,4327.657132,630.25738,1063.45564,6766.967771,1010.522893,6147.36134,2154.184447,1450.073368
,,,,,,,93,1590.384111,1111.982845,4132.509546,605.186107,1031.762002,6549.246428,972.695931,5826.582956,2079.40612,1409.845046
,,,,,,,94,1512.097454,1107.651571,3855.373637,569.69714,986.898918,6241.056804,919.150987,5491.343216,1973.491135,1329.127896
,,,,,,,95,1463.442951,1104.959721,3683.136058,550.568875,962.718084,6074.945116,890.2907,4908.522561,1865.213769,1241.651702
,,,,,,,96,1365.257799,1099.527546,3335.559616,534.252473,942.09184,5933.251903,865.672885,5262.23809,1926.861416,1161.612079
,,,,,,,97,1332.295556,1097.703883,3218.786092,503.455427,903.159597,5665.805649,819.206749,4833.50782,1836.322521,1126.4854
,,,,,,,98,1326.265432,1097.370261,3197.440169,469.991162,860.856038,5375.198794,768.716639,4460.270411,1619.391983,1103.738475
,,,,,,,99,1326.735182,1097.396251,3199.103324,424.882555,803.832385,4983.471367,700.657814,4135.2848,1500.626966,1102.264422
,,,,,,,100,1330.95016,1097.629448,3214.024305,407.14587,781.41071,4829.444314,673.897114,4061.268115,1429.740333,1103.207192
,,,,,,,101,1327.148268,1097.419105,3200.566202,406.894535,781.092985,4827.261686,673.517904,4110.486527,1416.556594,1118.39644
,,,,,,,102,1365.496991,1099.54078,3336.317849,458.356283,846.147898,5274.160363,751.162196,4468.570525,1475.166357,1177.224857
,,,,,,,103,1442.303271,1103.878653,3610.382267,553.945201,967.413199,6107.314674,895.727687,5264.503698,1632.295977,1332.039753
,,,,,,,104,1396.971822,1102.707366,3482.784507,507.928019,979.179806,6206.962131,882.448002,5793.595958,1907.168217,1485.611573
,,,,,,,105,1249.920568,1096.123371,3000.394689,351.001772,886.166808,5596.350379,730.272133,5908.737436,1867.039867,1493.612138
,,,,,,,106,1211.069085,1094.310161,2871.132051,274.925993,840.009733,5292.726923,655.643763,5906.629758,1530.46385,1435.365299
,,,,,,,107,1160.241191,1091.752167,2697.453605,237.466225,813.260376,5114.514068,615.667997,5050.581105,1062.535782,1415.117493
,,,,,,,108,1125.859203,1089.894259,2576.833408,225.48765,796.639305,4999.936849,596.408027,4026.573715,870.549274,1338.946164
,,,,,,,109,1147.026986,1090.827255,2645.909487,271.417803,813.995216,5108.212876,633.025573,3949.223907,1074.49274,1319.534544
,,,,,,,110,1165.210346,1091.626381,2705.189969,280.092173,814.817743,5111.134439,637.969933,4038.654729,1109.770331,1310.98587
,,,,,,,111,1235.287682,1094.925198,2939.038072,296.126053,817.223762,5122.856958,647.820222,4209.771163,1059.03016,1355.944403
,,,,,,,112,1393.190578,1102.546894,3470.597144,376.409597,865.634481,5441.1372,726.335998,4634.547123,1405.124384,1416.559755
,,,,,,,113,1535.441441,1109.513259,3951.929178,540.054022,973.111019,6152.713486,893.441733,5651.252023,1662.298539,1493.61626
,,,,,,,114,1638.713566,1114.681783,4304.099938,631.425083,1064.931292,6777.106171,1012.284392,6548.578165,2113.747208,1583.345994
,,,,,,,115,1633.210975,1114.352276,4284.004726,619.447365,1049.78976,6673.090512,994.212685,6501.031843,2278.665283,1569.981243
,,,,,,,116,1599.722882,1112.49952,4165.458929,594.605901,1018.386647,6457.364913,956.732463,6254.512278,2195.79879,1533.256152
,,,,,,,117,1542.280367,1109.321466,3962.116335,578.969866,998.620497,6321.580126,933.141178,6037.042192,2122.361898,1494.504785
,,,,,,,118,1485.914161,1106.202959,3762.584078,557.617234,971.627761,6136.151875,900.924825,5757.544092,2035.178622,1425.7868
,,,,,,,119,1457.580435,1104.635372,3662.284802,547.675701,959.060267,6049.818692,885.925275,5430.496176,1882.83775,1344.961875
,,,,,,,120,1363.733685,1099.443223,3330.074538,540.61433,950.133701,5988.497096,875.271244,5564.488566,1995.295697,1247.884489
,,,,,,,121,1332.625063,1097.722113,3219.938672,512.571416,914.681671,5744.962142,832.95961,5141.758315,1892.237736,1222.638361
,,,,,,,122,1327.379753,1097.431912,3201.370988,478.704003,871.868574,5450.854721,781.861301,4725.401696,1653.628446,1196.505186
,,,,,,,123,1326.469863,1097.381572,3198.150435,431.677327,812.420346,5042.471167,710.908622,4372.35072,1519.827197,1164.330876
,,,,,,,124,1321.322215,1097.096774,3179.928635,406.773733,780.938754,4826.206278,673.334697,4217.587652,1424.802704,1168.651611
,,,,,,,125,1333.611543,1097.776691,3223.432037,407.460699,781.807173,4832.171943,674.371173,4209.075895,1389.228846,1162.820362
,,,,,,,126,1330.845871,1097.623678,3213.641895,431.33291,811.984945,5039.480176,710.388967,4355.420512,1403.643684,1185.386441
,,,,,,,127,1341.767006,1098.275014,3253.459913,478.447389,871.971696,5451.678173,781.81736,4702.665005,1479.626051,1245.185814
,,,,,,,128,1297.657846,1096.596862,3116.060114,424.107222,894.30241,5629.569875,772.90859,5070.039801,1593.153352,1359.646686
,,,,,,,129,1264.654462,1095.863295,3026.092321,298.470823,855.525006,5395.482929,679.728547,5459.916313,1570.346334,1453.337462
,,,,,,,130,1197.737278,1092.935686,2808.259395,181.745381,787.419509,4949.003467,567.403427,5557.197353,1254.63421,1476.289493
,,,,,,,131,1150.536407,1090.603341,2648.034308,105.633867,730.74354,4570.301885,484.312367,5269.953812,1149.932289,1414.460893
,,,,,,,132,1052.028231,1085.763002,2314.31769,92.012265,708.864667,4418.749952,460.019751,4448.731013,766.438616,1334.266113
,,,,,,,133,1142.084302,1089.918373,2612.769723,126.179315,719.530748,4483.270499,485.456974,4395.626682,635.724367,1252.715211
,,,,,,,134,1133.493328,1089.471243,2583.051972,210.106932,763.303859,4767.205288,562.049162,4288.226553,666.869901,1233.276449
,,,,,,,135,1117.392,1088.61546,2526.917388,281.495059,808.424592,5065.02502,633.53043,4700.946812,690.932436,1241.730009
,,,,,,,136,1231.962963,1094.151348,2912.746661,365.565732,865.742971,5445.60557,721.06802,5081.603273,989.320608,1311.896399
,,,,,,,137,1439.07578,1104.258026,3612.661269,571.121614,1016.361159,6450.898992,943.508546,5743.157162,1468.333007,1477.003799
,,,,,,,138,1582.153349,1111.545872,4103.699756,690.848452,1140.048475,7293.134524,1101.93954,6398.719999,2015.417888,1583.529833
,,,,,,,139,1582.575085,1111.550804,4104.740415,681.430188,1128.142479,7211.345512,1087.729494,6361.917306,2151.827146,1576.208348
,,,,,,,140,1541.10984,1109.256705,3957.956594,654.571027,1094.188793,6978.098376,1047.205066,6084.201374,2077.226031,1537.461401
,,,,,,,141,1499.653988,1106.963126,3811.206029,629.890898,1062.989707,6763.77414,1009.968309,5824.648044,1991.765816,1499.852362
,,,,,,,142,1460.41168,1104.792013,3672.291402,600.503352,1025.839795,6508.570311,965.62912,5600.477196,1889.735673,1446.808302
,,,,,,,143,1440.653163,1103.698857,3602.347912,575.567175,994.317025,6292.02252,928.006042,5343.31153,1763.014764,1346.045381
,,,,,,,144,1356.060161,1099.018679,3302.896492,552.590426,965.271237,6092.490536,893.339296,5531.127379,1902.82968,1274.971091
,,,,,,,145,1329.575161,1097.553375,3209.244994,510.741637,912.368939,5729.0737,830.19911,5125.569581,1783.871689,1234.545412
,,,,,,,146,1324.074554,1097.249049,3189.773132,473.453659,865.231752,5405.26172,773.939924,4709.091246,1592.674492,1222.350517
,,,,,,,147,1322.344092,1097.15331,3183.647758,432.769411,813.801208,5051.956237,712.556528,4352.248097,1457.100635,1216.274193
,,,,,,,148,1317.381971,1096.878777,3166.082293,414.839534,791.135347,4896.251635,685.504366,4182.906617,1371.587768,1208.556435
,,,,,,,149,1327.74278,1097.451997,3202.760134,413.700778,789.695799,4886.362569,683.786237,4087.558124,1327.671902,1225.096978
,,,,,,,150,1320.868957,1097.071697,3178.426679,433.14035,814.270113,5055.177443,713.116182,4189.670237,1336.185979,1257.358275
,,,,,,,151,1337.424753,1098.162344,3241.331908,470.878664,862.833275,5389.015734,770.742612,4421.060012,1364.578191,1294.675752
,,,,,,,152,1135.847851,1089.312611,2584.401941,405.728563,880.042302,5534.022093,752.383232,4641.651338,1407.023178,1378.488896
,,,,,,,153,951.674259,1081.154392,1982.403665,280.401278,845.908573,5332.979291,663.083995,4863.590153,1414.151549,1462.277066
,,,,,,,154,878.795557,1078.46526,1757.36321,164.350749,779.744653,4900.13044,552.650977,4871.428126,1285.731879,1467.606977
,,,,,,,155,840.946566,1077.145399,1642.336757,67.230617,710.126633,4436.185828,448.793976,4745.280701,1188.062467,1437.845074
,,,,,,,156,815.690684,1076.094704,1561.415048,13.268144,663.569465,4122.185468,384.765453,4185.21717,940.577912,1395.146369
,,,,,,,157,818.619466,1076.090038,1567.686223,16.079278,652.296922,4040.759157,377.103682,4272.473674,931.163988,1354.146104
,,,,,,,158,850.808681,1077.230412,1665.918513,48.102785,659.923229,4084.309029,399.041813,4243.258817,1085.390758,1336.841014
,,,,,,,159,917.383329,1079.787438,1873.951921,154.725427,720.79497,4482.585541,500.569898,4593.675772,1072.342295,1363.001193
,,,,,,,160,1048.519021,1085.366681,2297.047816,319.615555,829.610676,5203.298064,669.365997,4953.284707,1078.304965,1411.846226
,,,,,,,161,1399.035606,1102.465053,3481.432513,553.204293,995.895253,6310.893465,918.228729,5557.783825,1430.255611,1513.860925
,,,,,,,162,1657.589044,1115.722756,4370.954928,688.19571,1136.695506,7270.099833,1097.937437,6240.61007,1900.138136,1611.965523
,,,,,,,163,1691.290658,1117.565583,4489.724548,695.410696,1145.816246,7332.755366,1108.823228,6280.115158,2074.61723,1616.087876
,,,,,,,164,1657.689985,1115.706598,4370.776825,661.823613,1103.357516,7041.082319,1058.147868,6036.531986,2034.941716,1565.432115
,,,,,,,165,1598.300881,1112.420847,4160.538005,632.169569,1065.870697,6783.564126,1013.406582,5764.131607,1983.363738,1528.24951
,,,,,,,166,1529.078566,1108.591065,3915.48984,589.951221,1012.500852,6416.936448,949.708582,5475.532189,1900.485937,1454.556805
,,,,,,,167,1475.397579,1105.62112,3725.458475,545.16244,955.881623,6027.986916,882.132377,5134.684586,1767.65675,1351.92059
,,,,,,,168,1381.682445,1100.436253,3393.705743,513.614304,916.000399,5754.020229,834.533326,5219.662277,1852.141067,1277.746731
,,,,,,,169,1329.871537,1097.569772,3210.339766,481.97058,875.998386,5479.223645,786.790083,4839.924622,1720.910384,1233.096908
,,,,,,,170,1326.065313,1097.35919,3196.865718,451.586697,837.588929,5215.367387,740.947622,4515.339294,1539.397146,1205.486123
,,,,,,,171,1350.820657,1098.7288,3284.501513,417.593228,794.616455,4920.165183,689.659106,4262.581491,1433.692535,1182.100281
,,,,,,,172,1323.918613,1097.240422,3189.267243,407.968156,782.449023,4836.580221,675.137032,4142.032696,1356.753721,1165.188784
,,,,,,,173,1340.315358,1098.147585,3247.312987,419.767172,797.364615,4939.043864,692.939095,4226.721875,1359.861344,1187.154954
,,,,,,,174,1415.229155,1102.292253,3512.512131,481.227029,875.058414,5472.766502,785.668219,4635.336446,1396.038491,1256.851065
,,,,,,,175,1569.224004,1110.975854,4061.69104,591.317529,1014.942029,6433.89819,952.343234,5531.145805,1562.551943,1411.624632
,,,,,,,176,1428.942259,1105.543122,3622.388981,533.662272,1039.210261,6626.748384,943.352763,6187.18763,1744.820232,1559.283515
,,,,,,,177,1158.131537,1092.61121,2714.176145,361.099634,952.638163,6067.433691,788.62562,6191.293161,1808.199817,1556.128791
,,,,,,,178,919.248652,1080.75114,1901.895688,210.798774,849.973152,5385.666647,631.972748,5761.61977,1722.339768,1495.135732
,,,,,,,179,836.005753,1076.942394,1626.756226,110.242431,771.859107,4862.240943,519.597722,5213.567054,1571.88862,1409.84546
,,,,,,,180,816.41971,1076.117347,1563.741141,82.666535,740.750078,4649.54454,481.003146,4896.020733,1492.238846,1368.94673
,,,,,,,181,839.294705,1077.019658,1635.780919,131.806907,758.614517,4760.358844,519.61438,5035.846039,1404.872278,1309.037151
,,,,,,,182,836.879661,1076.108426,1608.200436,186.687153,784.597544,4927.176421,567.578323,5311.823011,1391.191324,1213.230556
,,,,,,,183,1010.566149,1084.254761,2187.055733,245.858421,815.546062,5127.981299,621.647985,5311.47794,1414.688471,1301.953621
,,,,,,,184,1235.205451,1095.074291,2942.698936,377.67836,900.402968,5688.908737,754.876575,5699.434076,1499.21141,1364.247627
,,,,,,,185,1514.958034,1108.667983,3886.677308,605.294306,1063.959965,6779.064389,998.599713,6357.483669,1733.3503,1484.005747
,,,,,,,186,1752.683075,1120.992761,4707.87153,760.147656,1227.65284,7894.936981,1206.496815,7009.609367,2096.550329,1618.853961
,,,,,,,187,1785.61843,1122.784344,4823.711929,770.710925,1241.006279,7986.669306,1222.434415,6938.921543,2263.823247,1615.521532
,,,,,,,188,1736.384723,1120.060449,4649.420913,736.967966,1198.3505,7693.642615,1171.523873,6595.922717,2190.925793,1570.875879
,,,,,,,189,1682.407808,1117.074132,4458.338668,705.555303,1158.640538,7420.852412,1124.129223,6317.909868,2108.191004,1534.005442
,,,,,,,190,1594.925962,1112.234127,4148.647311,660.175608,1101.274304,7026.771296,1055.661456,5886.580931,1983.402247,1464.621181
,,,,,,,191,1517.560525,1107.95382,3874.76917,616.414265,1045.953892,6646.744094,989.635421,5425.061837,1790.991782,1364.265614
,,,,,,,192,1412.511714,1102.141908,3502.890282,587.629516,1009.565971,6396.774887,946.205699,5528.594114,1871.877138,1285.564048
,,,,,,,193,1323.826478,1097.235324,3188.969783,550.53705,962.675789,6074.66012,890.241402,5099.766638,1737.362594,1243.01136
,,,,,,,194,1323.861652,1097.23727,3189.094651,518.657561,922.375689,5797.815936,842.142414,4710.399046,1526.708922,1218.939039
,,,,,,,195,1344.675693,1098.388824,3262.778598,473.920047,865.821258,5409.311568,774.643553,4430.568324,1444.032228,1189.628825
,,,,,,,196,1333.570337,1097.774411,3223.46512,451.394065,837.345287,5213.694021,740.656904,4316.376139,1370.883317,1190.200302
,,,,,,,197,1346.262802,1098.476632,3268.397805,460.119501,848.375447,5289.466431,753.821625,4380.635462,1353.55608,1223.601667
,,,,,,,198,1424.821199,1102.82294,3546.501458,521.340106,925.766785,5821.111326,846.189763,4828.879705,1425.595381,1298.224948
,,,,,,,199,1575.831327,1111.257923,4083.064602,634.112417,1068.469233,6801.453529,1016.452329,5746.718768,1607.587536,1446.682932
,,,,,,,200,1513.123754,1109.393319,3900.573071,604.768087,1106.920248,7085.920368,1032.830297,6293.534196,1870.159955,1612.334092
,,,,,,,201,1303.195281,1099.418189,3197.757603,419.260897,1010.335146,6459.529316,863.671367,6335.86021,1801.823733,1627.382245
,,,,,,,202,1041.124526,1086.512565,2309.230218,260.252484,903.026622,5747.575533,698.99009,6021.046603,1391.304281,1545.082746
