Zone,1,2,3,4,5,6,7,8,9,10,Total
t91,462.31685606263466,244.62334202617095,2582.823487243216,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,1266.6640218034138,158.63899168819324,0.0,6735.552781627906
t92,462.31685606263466,244.62334202617095,2446.4673761254157,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,1266.6640218034138,0.0,0.0,6440.557678821912
t93,462.31685606263466,244.62334202617095,2300.4850785149824,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,629.8980106837474,0.0,0.0,5657.8093700918125
t94,462.31685606263466,244.62334202617095,1522.4621092317218,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,467.4108208572392,0.0,0.0,4717.299210982043
t95,462.31685606263466,244.62334202617095,1236.403437835011,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3963.829718728094
t96,462.31685606263466,244.62334202617095,3010.2182085155077,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,5737.644489408591
t97,462.31685606263466,244.62334202617095,2776.3002386887097,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,5503.726519581793
t98,462.31685606263466,244.62334202617095,2748.461079342776,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,5475.887360235859
t99,462.31685606263466,244.62334202617095,1852.0798857966734,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,4579.506166689756
t100,462.31685606263466,244.62334202617095,1026.5340401630804,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3753.9603210561636
t101,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t102,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t103,462.31685606263466,244.62334202617095,463.94708719411636,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3191.3733680871997
t104,462.31685606263466,244.62334202617095,381.73842817199005,81.74187616212116,0.0,1357.5517564143634,0.0,0.0,0.0,0.0,2527.97225883728
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,462.31685606263466,244.62334202617095,411.59977179355957,81.74187616212116,0.0,658.0474565841176,0.0,0.0,0.0,0.0,1858.3293026286037
t114,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t115,213.43983000525674,244.62334202617095,449.41820000000007,81.74187616212116,0.0,1266.2345035623187,0.0,0.0,0.0,0.0,2255.4577517558673
t116,0.0,0.0,397.00249730011814,81.74187616212116,318.34659835590634,1043.5227725003247,0.0,0.0,0.0,0.0,1840.6137443184703
t117,0.0,244.62334202617095,344.36816681411284,81.74187616212116,0.0,722.8072364630137,0.0,0.0,0.0,0.0,1393.5406214654186
t118,152.3302972370148,244.62334202617095,449.41820000000007,0.0,0.0,422.2257625699611,0.0,0.0,0.0,0.0,1268.5976018331469
t119,124.63532081989318,244.62334202617095,449.41820000000007,0.0,0.0,196.29371189255136,0.0,0.0,0.0,0.0,1014.9705747386156
t120,0.0,120.70919815901655,0.0,0.0,0.0,3.4576427583809806,0.0,0.0,0.0,0.0,124.16684091739754
t121,0.0,72.795959124642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.795959124642
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t125,0.0,212.41559023276622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.41559023276622
t126,0.0,218.0551937729595,270.3007164651771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.35591023813663
t127,92.53804601684084,244.62334202617095,368.42333277184946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.5847208148613
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t137,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,233.2447035413192,0.0,0.0,0.0,3410.089184434403
t138,462.31685606263466,244.62334202617095,1660.2735389880906,81.74187616212116,318.34659835590634,1620.3976082862503,233.2447035413192,1266.6640218034138,367.52260728766424,0.0,6255.13115251357
t139,462.31685606263466,244.62334202617095,1598.6397557023267,81.74187616212116,318.34659835590634,1620.3976082862503,233.2447035413192,833.255111083782,440.9454134159824,0.0,5833.511264636493
t140,462.31685606263466,244.62334202617095,2208.1659416345765,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,1193.5672981469297,0.0,0.0,6129.15952067459
t141,462.31685606263466,244.62334202617095,1580.4645962867303,81.74187616212116,318.34659835590634,1620.3976082862503,44.648195334653174,0.0,0.0,0.0,4352.539072514466
t142,462.31685606263466,244.62334202617095,1065.7063524236783,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3793.1326333167617
t143,462.31685606263466,252.98667739169102,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3185.207816258603
t144,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,771.8104617210743,0.0,0.0,0.0,0.0,2009.910735972001
t145,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,296.12572657497856,0.0,0.0,0.0,0.0,1534.2260008259054
t146,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,302.50534978082356,0.0,0.0,0.0,0.0,1540.6056240317503
t147,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,298.56036552782973,0.0,0.0,0.0,0.0,1536.6606397787564
t148,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,66.08905732775142,0.0,0.0,0.0,0.0,1622.5359299345844
t149,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,1030.4238632779338,0.0,0.0,0.0,0.0,2268.5241375288606
t150,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1532.9982473390603,0.0,0.0,0.0,0.0,3089.4451199458936
t151,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t152,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,194.47868817137712,0.0,0.0,0.0,0.0,0.0,1432.578962422304
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t160,79.05452194249271,244.62334202617095,449.41820000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0960639686637
t161,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
